date,spy_tlt_ratio,copper_gold_ratio,xlf_xlu_ratio,iwm_spy_ratio,spy_tlt_ma50,spy_tlt_signal
2020-01-02,2.5788,1.8325,1.0507,0.5163,,INSUFFICIENT_DATA
2020-01-03,2.5204,1.8325,1.0374,0.5182,,INSUFFICIENT_DATA
2020-01-06,2.5444,1.8325,1.0354,0.5169,,INSUFFICIENT_DATA
2020-01-07,2.5499,1.8325,1.0302,0.5167,,INSUFFICIENT_DATA
2020-01-08,2.5804,1.8325,1.0374,0.5155,,INSUFFICIENT_DATA
2020-01-09,2.5889,1.8325,1.0383,0.5127,,INSUFFICIENT_DATA
2020-01-10,2.5587,1.8325,1.0281,0.5122,,INSUFFICIENT_DATA
2020-01-13,2.5842,1.8325,1.0287,0.512,,INSUFFICIENT_DATA
2020-01-14,2.567,1.8325,1.0238,0.5147,,INSUFFICIENT_DATA
2020-01-15,2.5558,1.8325,1.004,0.516,,INSUFFICIENT_DATA
2020-01-16,2.5852,1.8325,1.0066,0.5183,,INSUFFICIENT_DATA
2020-01-17,2.6158,1.8325,1.0025,0.5153,,INSUFFICIENT_DATA
2020-01-20,2.6158,1.8325,1.0025,0.5153,,INSUFFICIENT_DATA
2020-01-21,2.5833,1.8325,0.9853,0.5121,,INSUFFICIENT_DATA
2020-01-22,2.5747,1.8325,0.985,0.5117,,INSUFFICIENT_DATA
2020-01-23,2.5596,1.8325,0.9738,0.5107,,INSUFFICIENT_DATA
2020-01-24,2.5165,1.8325,0.9591,0.509,,INSUFFICIENT_DATA
2020-01-27,2.4382,1.8325,0.9466,0.5114,,INSUFFICIENT_DATA
2020-01-28,2.4832,1.8325,0.9535,0.5103,,INSUFFICIENT_DATA
2020-01-29,2.4571,1.8325,0.9497,0.5078,,INSUFFICIENT_DATA
2020-01-30,2.4649,1.8325,0.9526,0.5062,,INSUFFICIENT_DATA
2020-01-31,2.3983,1.5933,0.9367,0.5049,,INSUFFICIENT_DATA
2020-02-03,2.4181,1.5933,0.9404,0.5067,,INSUFFICIENT_DATA
2020-02-04,2.4884,1.5933,0.9588,0.5066,,INSUFFICIENT_DATA
2020-02-05,2.5448,1.5933,0.9744,0.5086,,INSUFFICIENT_DATA
2020-02-06,2.5419,1.5933,0.9727,0.5057,,INSUFFICIENT_DATA
2020-02-07,2.4973,1.5933,0.9722,0.5022,,INSUFFICIENT_DATA
2020-02-10,2.5089,1.5933,0.9713,0.5013,,INSUFFICIENT_DATA
2020-02-11,2.5261,1.5933,0.9714,0.5039,,INSUFFICIENT_DATA
2020-02-12,2.5554,1.5933,0.9714,0.5041,,INSUFFICIENT_DATA
2020-02-13,2.5428,1.5933,0.9603,0.5059,,INSUFFICIENT_DATA
2020-02-14,2.5357,1.5933,0.9551,0.5032,,INSUFFICIENT_DATA
2020-02-17,2.5357,1.5933,0.9551,0.5032,,INSUFFICIENT_DATA
2020-02-18,2.5122,1.5933,0.9388,0.5034,,INSUFFICIENT_DATA
2020-02-19,2.5241,1.5933,0.9564,0.5036,,INSUFFICIENT_DATA
2020-02-20,2.4943,1.5933,0.9514,0.5069,,INSUFFICIENT_DATA
2020-02-21,2.4459,1.5933,0.9437,0.507,,INSUFFICIENT_DATA
2020-02-24,2.3299,1.5933,0.9236,0.5086,,INSUFFICIENT_DATA
2020-02-25,2.2472,1.5933,0.9114,0.5059,,INSUFFICIENT_DATA
2020-02-26,2.251,1.5933,0.914,0.5018,,INSUFFICIENT_DATA
2020-02-27,2.1268,1.5933,0.9164,0.5069,,INSUFFICIENT_DATA
2020-02-28,2.0711,1.564,0.9224,0.4997,,INSUFFICIENT_DATA
2020-03-02,2.1768,1.564,0.9157,0.4944,,INSUFFICIENT_DATA
2020-03-03,2.0821,1.564,0.8924,0.4986,,INSUFFICIENT_DATA
2020-03-04,2.193,1.564,0.8722,0.4921,,INSUFFICIENT_DATA
2020-03-05,2.0685,1.564,0.8434,0.4928,,INSUFFICIENT_DATA
2020-03-06,1.9337,1.564,0.821,0.4912,,INSUFFICIENT_DATA
2020-03-09,1.7357,1.564,0.7753,0.481,,INSUFFICIENT_DATA
2020-03-10,1.9241,1.564,0.8132,0.4716,,INSUFFICIENT_DATA
2020-03-11,1.9002,1.564,0.81,0.4642,2.4127,BELOW_MA
2020-03-12,1.7078,1.564,0.8033,0.4566,2.3952,BELOW_MA
2020-03-13,1.8967,1.564,0.8623,0.4488,2.3828,BELOW_MA
2020-03-16,1.5865,1.5276,0.8391,0.4371,2.3636,BELOW_MA
2020-03-17,1.7916,1.5276,0.7845,0.4337,2.3484,BELOW_MA
2020-03-18,1.8026,1.5276,0.7507,0.4215,2.3329,BELOW_MA
2020-03-19,1.7585,1.5276,0.8142,0.437,2.3163,BELOW_MA
2020-03-20,1.565,1.5276,0.8532,0.4458,2.2964,BELOW_MA
2020-03-23,1.4646,1.3529,0.8464,0.4507,2.274,BELOW_MA
2020-03-24,1.6276,1.3529,0.8593,0.4511,2.2552,BELOW_MA
2020-03-25,1.6557,1.3529,0.8605,0.45,2.2372,BELOW_MA
2020-03-26,1.7439,1.3529,0.843,0.4516,2.2204,BELOW_MA
2020-03-27,1.6479,1.3529,0.8125,0.4485,2.201,BELOW_MA
2020-03-30,1.7156,1.3529,0.7985,0.4439,2.183,BELOW_MA
2020-03-31,1.7038,1.3654,0.8091,0.4484,2.1654,BELOW_MA
2020-04-01,1.6047,1.3654,0.8087,0.4375,2.146,BELOW_MA
2020-04-02,1.6313,1.3654,0.8035,0.4317,2.1275,BELOW_MA
2020-04-03,1.6039,1.3654,0.8169,0.4257,2.1092,BELOW_MA
2020-04-06,1.7162,1.3654,0.8125,0.4294,2.0948,BELOW_MA
2020-04-07,1.736,1.3654,0.8313,0.4301,2.0798,BELOW_MA
2020-04-08,1.8076,1.3654,0.8228,0.4351,2.0668,BELOW_MA
2020-04-09,1.8316,1.3654,0.8276,0.4491,2.0542,BELOW_MA
2020-04-10,1.8316,1.3654,0.8276,0.4491,2.0428,BELOW_MA
2020-04-13,1.8317,1.3654,0.8236,0.4409,2.0311,BELOW_MA
2020-04-14,1.8862,1.3654,0.8038,0.437,2.0191,BELOW_MA
2020-04-15,1.7985,1.3654,0.7954,0.4282,2.0042,BELOW_MA
2020-04-16,1.7869,1.3654,0.7813,0.423,1.989,BELOW_MA
2020-04-17,1.8601,1.3654,0.7968,0.43,1.9763,BELOW_MA
2020-04-20,1.8127,1.2995,0.8134,0.4325,1.9624,BELOW_MA
2020-04-21,1.7358,1.2995,0.8003,0.4354,1.9466,BELOW_MA
2020-04-22,1.7926,1.2995,0.7861,0.4312,1.9313,BELOW_MA
2020-04-23,1.783,1.2995,0.7964,0.4354,1.9161,BELOW_MA
2020-04-24,1.8037,1.2995,0.8026,0.4368,1.9015,BELOW_MA
2020-04-27,1.8644,1.2995,0.8216,0.4477,1.8881,BELOW_MA
2020-04-28,1.8347,1.2995,0.8271,0.4563,1.8745,BELOW_MA
2020-04-29,1.8925,1.2995,0.859,0.4665,1.8619,ABOVE_MA
2020-04-30,1.8971,1.393,0.8573,0.453,1.8499,ABOVE_MA
2020-05-01,1.8311,1.393,0.8504,0.4468,1.8376,BELOW_MA
2020-05-04,1.8449,1.393,0.8362,0.4475,1.8279,ABOVE_MA
2020-05-05,1.874,1.393,0.827,0.4469,1.8205,ABOVE_MA
2020-05-06,1.8918,1.393,0.8375,0.4466,1.8133,ABOVE_MA
2020-05-07,1.8832,1.393,0.8534,0.4473,1.8084,ABOVE_MA
2020-05-08,1.9396,1.393,0.855,0.457,1.8058,ABOVE_MA
2020-05-11,1.9551,1.393,0.8419,0.4547,1.8014,ABOVE_MA
2020-05-12,1.8968,1.393,0.8268,0.4472,1.7976,ABOVE_MA
2020-05-13,1.8502,1.393,0.8096,0.44,1.7908,ABOVE_MA
2020-05-14,1.8542,1.393,0.8212,0.4363,1.7865,ABOVE_MA
2020-05-15,1.8675,1.393,0.827,0.4412,1.7852,ABOVE_MA
2020-05-18,1.9677,1.393,0.8351,0.4541,1.7898,ABOVE_MA
2020-05-19,1.9402,1.393,0.8284,0.4498,1.7901,ABOVE_MA
2020-05-20,1.9672,1.393,0.8425,0.4557,1.7915,ABOVE_MA
2020-05-21,1.9489,1.393,0.8478,0.4597,1.7963,ABOVE_MA
2020-05-22,1.9408,1.393,0.8359,0.461,1.7972,ABOVE_MA
2020-05-25,1.9408,1.393,0.8359,0.461,1.8043,ABOVE_MA
2020-05-26,1.9915,1.393,0.8735,0.4686,1.8083,ABOVE_MA
2020-05-27,2.0248,1.393,0.9007,0.476,1.8127,ABOVE_MA
2020-05-28,2.0285,1.393,0.8609,0.4656,1.8181,ABOVE_MA
2020-05-29,2.0232,1.3999,0.8447,0.4609,1.8273,ABOVE_MA
2020-06-01,2.045,1.3999,0.8442,0.4634,1.8389,ABOVE_MA
2020-06-02,2.0695,1.3999,0.8456,0.4634,1.8477,ABOVE_MA
2020-06-03,2.1253,1.3999,0.8668,0.4684,1.8571,ABOVE_MA
2020-06-04,2.1509,1.3999,0.9019,0.4689,1.8653,ABOVE_MA
2020-06-05,2.2218,1.3999,0.9235,0.4749,1.8767,ABOVE_MA
2020-06-08,2.2401,1.3999,0.9167,0.4783,1.8872,ABOVE_MA
2020-06-09,2.1984,1.3999,0.9151,0.473,1.8971,ABOVE_MA
2020-06-10,2.1541,1.3999,0.8864,0.4627,1.9081,ABOVE_MA
2020-06-11,1.9923,1.3999,0.8469,0.4536,1.9153,ABOVE_MA
2020-06-12,2.0358,1.3999,0.8746,0.459,1.924,ABOVE_MA
2020-06-15,2.0537,1.3999,0.8807,0.4652,1.9307,ABOVE_MA
2020-06-16,2.1258,1.3999,0.8905,0.4674,1.9385,ABOVE_MA
2020-06-17,2.1082,1.3999,0.8797,0.4609,1.9445,ABOVE_MA
2020-06-18,2.087,1.3999,0.8788,0.4605,1.9496,ABOVE_MA
2020-06-19,2.0734,1.3999,0.8982,0.4608,1.9545,ABOVE_MA
2020-06-22,2.0864,1.3999,0.8852,0.4625,1.9596,ABOVE_MA
2020-06-23,2.1105,1.3999,0.8982,0.4623,1.964,ABOVE_MA
2020-06-24,2.0348,1.3999,0.8746,0.459,1.9688,ABOVE_MA
2020-06-25,2.0508,1.3999,0.9091,0.461,1.974,ABOVE_MA
2020-06-26,1.9808,1.3999,0.8798,0.4595,1.9765,ABOVE_MA
2020-06-29,2.0162,1.3999,0.8727,0.4676,1.9805,ABOVE_MA
2020-06-30,2.052,1.5272,0.8816,0.4684,1.9869,ABOVE_MA
2020-07-01,2.0704,1.5272,0.8536,0.4607,1.9924,ABOVE_MA
2020-07-02,2.0798,1.5272,0.8527,0.4601,1.9983,ABOVE_MA
2020-07-03,2.0798,1.5272,0.8527,0.4601,2.0039,ABOVE_MA
2020-07-06,2.1206,1.5272,0.8799,0.4563,2.009,ABOVE_MA
2020-07-07,2.0695,1.5272,0.8652,0.4529,2.0137,ABOVE_MA
2020-07-08,2.0937,1.5272,0.8664,0.4529,2.0177,ABOVE_MA
2020-07-09,2.0493,1.5272,0.86,0.4462,2.0208,ABOVE_MA
2020-07-10,2.0806,1.5272,0.8729,0.4488,2.0257,ABOVE_MA
2020-07-13,2.0557,1.5272,0.8759,0.447,2.03,ABOVE_MA
2020-07-14,2.0794,1.5272,0.8722,0.4486,2.0341,ABOVE_MA
2020-07-15,2.1083,1.5272,0.8928,0.4608,2.0384,ABOVE_MA
2020-07-16,2.0915,1.5272,0.8813,0.4596,2.0426,ABOVE_MA
2020-07-17,2.102,1.5272,0.8548,0.4596,2.0458,ABOVE_MA
2020-07-20,2.1138,1.5272,0.8624,0.454,2.049,ABOVE_MA
2020-07-21,2.1169,1.5272,0.8754,0.4595,2.0534,ABOVE_MA
2020-07-22,2.1227,1.5272,0.8621,0.4571,2.0588,ABOVE_MA
2020-07-23,2.0731,1.5272,0.8618,0.4631,2.0632,ABOVE_MA
2020-07-24,2.0598,1.5272,0.8652,0.4592,2.0671,BELOW_MA
2020-07-27,2.0827,1.5272,0.8687,0.4606,2.0694,ABOVE_MA
2020-07-28,2.0552,1.5272,0.8534,0.459,2.0717,BELOW_MA
2020-07-29,2.0841,1.5272,0.8654,0.4634,2.074,ABOVE_MA
2020-07-30,2.063,1.5272,0.8498,0.4632,2.0763,BELOW_MA
2020-07-31,2.0806,1.4576,0.8489,0.4553,2.0791,ABOVE_MA
2020-08-03,2.1057,1.4576,0.861,0.4595,2.0824,ABOVE_MA
2020-08-04,2.0938,1.4576,0.8481,0.4608,2.0844,ABOVE_MA
2020-08-05,2.1255,1.4576,0.871,0.4671,2.0864,ABOVE_MA
2020-08-06,2.1278,1.3932,0.8655,0.4638,2.0884,ABOVE_MA
2020-08-07,2.1436,1.3932,0.8683,0.4709,2.0908,ABOVE_MA
2020-08-10,2.1597,1.3932,0.8748,0.4743,2.0931,ABOVE_MA
2020-08-11,2.1677,1.3932,0.9043,0.4755,2.0951,ABOVE_MA
2020-08-12,2.218,1.3932,0.8893,0.4709,2.0969,ABOVE_MA
2020-08-13,2.238,1.3932,0.8853,0.4708,2.0987,ABOVE_MA
2020-08-14,2.2468,1.3932,0.8964,0.4705,2.0992,ABOVE_MA
2020-08-17,2.2482,1.3932,0.8829,0.4714,2.0994,ABOVE_MA
2020-08-18,2.2372,1.3932,0.8808,0.4658,2.1001,ABOVE_MA
2020-08-19,2.2418,1.3932,0.8832,0.4678,2.1019,ABOVE_MA
2020-08-20,2.2286,1.3932,0.8826,0.4645,2.1066,ABOVE_MA
2020-08-21,2.2232,1.3932,0.8796,0.4594,2.1104,ABOVE_MA
2020-08-24,2.2494,1.3932,0.8925,0.4596,2.1143,ABOVE_MA
2020-08-25,2.2747,1.3932,0.9038,0.4585,2.1172,ABOVE_MA
2020-08-26,2.3063,1.3932,0.9096,0.4511,2.1212,ABOVE_MA
2020-08-27,2.3514,1.3932,0.922,0.4512,2.1265,ABOVE_MA
2020-08-28,2.3683,1.3932,0.9226,0.4521,2.1324,ABOVE_MA
2020-08-31,2.3441,1.55,0.9092,0.4489,2.1375,ABOVE_MA
2020-09-01,2.3396,1.55,0.9223,0.4498,2.1421,ABOVE_MA
2020-09-02,2.351,1.55,0.9074,0.4469,2.1485,ABOVE_MA
2020-09-03,2.2636,1.55,0.9032,0.4491,2.1527,ABOVE_MA
2020-09-04,2.2886,1.55,0.9158,0.4499,2.1589,ABOVE_MA
2020-09-07,2.2886,1.55,0.9158,0.4499,2.1643,ABOVE_MA
2020-09-08,2.2125,1.55,0.8973,0.4537,2.1675,ABOVE_MA
2020-09-09,2.2622,1.55,0.8943,0.4516,2.1714,ABOVE_MA
2020-09-10,2.2118,1.55,0.8973,0.4536,2.174,ABOVE_MA
2020-09-11,2.2082,1.55,0.9011,0.4504,2.1766,ABOVE_MA
2020-09-14,2.2374,1.55,0.9013,0.4562,2.1789,ABOVE_MA
2020-09-15,2.2542,1.55,0.883,0.4548,2.1826,ABOVE_MA
2020-09-16,2.2518,1.55,0.8943,0.4609,2.1858,ABOVE_MA
2020-09-17,2.2253,1.55,0.8922,0.4616,2.1893,ABOVE_MA
2020-09-18,2.2065,1.55,0.9065,0.4658,2.1918,ABOVE_MA
2020-09-21,2.171,1.55,0.8892,0.4545,2.1941,BELOW_MA
2020-09-22,2.1949,1.55,0.8765,0.4534,2.1964,BELOW_MA
2020-09-23,2.1411,1.55,0.8705,0.4504,2.1971,BELOW_MA
2020-09-24,2.1385,1.55,0.8622,0.4492,2.198,BELOW_MA
2020-09-25,2.1731,1.55,0.8572,0.4492,2.1994,BELOW_MA
2020-09-28,2.2155,1.55,0.8755,0.4528,2.2015,ABOVE_MA
2020-09-29,2.2009,1.55,0.8647,0.4532,2.2031,BELOW_MA
2020-09-30,2.2392,1.6004,0.8687,0.4511,2.2055,ABOVE_MA
2020-10-01,2.2498,1.6004,0.8614,0.4554,2.209,ABOVE_MA
2020-10-02,2.2368,1.6004,0.858,0.4618,2.2125,ABOVE_MA
2020-10-05,2.3218,1.6004,0.8612,0.4663,2.2173,ABOVE_MA
2020-10-06,2.2764,1.6004,0.8457,0.4716,2.2218,ABOVE_MA
2020-10-07,2.3331,1.6004,0.8542,0.4737,2.2267,ABOVE_MA
2020-10-08,2.3412,1.6004,0.8505,0.4749,2.2323,ABOVE_MA
2020-10-09,2.3624,1.6004,0.8516,0.4731,2.2379,ABOVE_MA
2020-10-12,2.3929,1.6004,0.8555,0.4687,2.2437,ABOVE_MA
2020-10-13,2.3604,1.6004,0.8452,0.4686,2.249,ABOVE_MA
2020-10-14,2.3402,1.6004,0.838,0.467,2.2533,ABOVE_MA
2020-10-15,2.3413,1.6004,0.845,0.4723,2.2576,ABOVE_MA
2020-10-16,2.3465,1.6004,0.8367,0.4715,2.2616,ABOVE_MA
2020-10-19,2.3196,1.6004,0.8309,0.473,2.2648,ABOVE_MA
2020-10-20,2.3512,1.6004,0.8326,0.4722,2.2685,ABOVE_MA
2020-10-21,2.3549,1.6004,0.8307,0.469,2.2712,ABOVE_MA
2020-10-22,2.3928,1.6004,0.8352,0.4745,2.2743,ABOVE_MA
2020-10-23,2.3863,1.6004,0.8357,0.4756,2.2771,ABOVE_MA
2020-10-26,2.3205,1.6004,0.8171,0.4741,2.2786,ABOVE_MA
2020-10-27,2.2971,1.6004,0.8028,0.4717,2.2798,ABOVE_MA
2020-10-28,2.2165,1.6004,0.8055,0.4733,2.2793,BELOW_MA
2020-10-29,2.2609,1.6004,0.8094,0.4742,2.2799,BELOW_MA
2020-10-30,2.2597,1.6011,0.8197,0.4729,2.2806,BELOW_MA
2020-11-02,2.2682,1.6011,0.8172,0.4759,2.281,BELOW_MA
2020-11-03,2.3215,1.6011,0.8235,0.481,2.282,ABOVE_MA
2020-11-04,2.3231,1.6011,0.8263,0.471,2.2823,ABOVE_MA
2020-11-05,2.3642,1.6011,0.8388,0.4749,2.2825,ABOVE_MA
2020-11-06,2.3927,1.6011,0.8341,0.4713,2.283,ABOVE_MA
2020-11-09,2.4748,1.6011,0.886,0.4823,2.2856,ABOVE_MA
2020-11-10,2.4854,1.6011,0.8781,0.492,2.2886,ABOVE_MA
2020-11-11,2.495,1.6011,0.8711,0.4881,2.2914,ABOVE_MA
2020-11-12,2.4294,1.6011,0.8708,0.4854,2.2948,ABOVE_MA
2020-11-13,2.4662,1.6011,0.8763,0.4886,2.2983,ABOVE_MA
2020-11-16,2.503,1.6011,0.8871,0.4941,2.3026,ABOVE_MA
2020-11-17,2.4734,1.6011,0.9031,0.4991,2.3078,ABOVE_MA
2020-11-18,2.4367,1.6011,0.9125,0.4981,2.3113,ABOVE_MA
